Season,Episode,Character,Line
17,1,Cartman,"I pledge it! I pledge the fucking allegiance!
"
6,3,Butters,"Aw, I feel silly.
"
1,1,Mr. Garrison,"Is there a problem, boys?
"
16,6,Cartman,"Heh, did you hear that guys? Kenny said it's just a fever blister.  You sound like a chick, Kenny. That's herpes, dude. You got that shit till you die.
"
13,11,Stan,"Wow cool.
"
13,10,Stan,"I'm having the best time!
"
5,6,Stan,"Well um, ah-I found out that Cartman is letting a few people each day into his theme park. I was thinking we could put on disguises and get in.
"
5,13,Cartman,"It's...  Why, it's a miracle, you guys! 
"
5,2,Cartman,"Hehe, I don't sound like that.
"
8,9,Cartman,"I did not! I wanna close Wall-Mart just as much as you guys do!
"
16,10,Randy,"Yeah, sorry, false alarm. Pass phrase is tickle me homo.  It's a joke.
"
16,6,Cartman,"Yeah.
"
18,3,Randy,"Yeah.  The record company messed it all up. It was supposed to go ""Hunger Games, yah yah yah, yah yah yah! Hunger Games."" But they just- do what they want with my songs.
"
9,8,Cartman,"Shyeah, that was pretty funny.
"
16,1,Randy,"We've all stood by as our mother government has taken out dignity.
"
18,10,Cartman,"...Very impressive, Kyle. But the holiday special is beginning soon. I'm afraid I can't let there be any distractions.  You will find that my door has been sealed with a 3/4 inch plywood and a polymer-metal alloy secured with drewall screws. 
"
3,8,Randy,"Yeah well, that, that's not really ...gay, is it?
"
16,12,Kyle,"Stan can't come.
"
12,5,Cartman,"That's Mr. Cartman now, Kyle! And you will be wise not to interrupt my class unless you want to be suspended!  Yeahhh.  Mmm yeah, you like that?  All right, Clyde, you're first! Get up here!  Yeah, you're gonna take it, Clyde. 
"
2,15,Stan,"Wow, really?! Hey, I love Aunt Flo! 
"
5,9,Kyle,"Stan, I don't think we're supposed to be in the military base. They might shoot us.
"
5,13,Stan,"I'm not the one who's leaving, he is! 
"
10,9,Kyle,"Stan! What the fuck?!
"
14,2,Cartman,"Yep, sorry. You're gonna have to come down and admit it was you. 
"
14,5,Randy,"Well, yeah.
"
3,2,Stan,"No, he's not! He can't even get a nurection!
"
6,2,Kyle,"What
"
1,2,Kenny,"(They're the biggest breasts that I've seen)
"
6,1,Kyle,"But Butters isn't fat.
"
3,5,Cartman,"You... can't leave. You're my friend.
"
2,2,Cartman,"Eeeehh..!
"
6,7,Cartman,"G'night, guys.
"
14,3,Cartman,"Hey! Hey who the fuck do you think you're talking to, huh?! Huh?!  Oh crap! 
"
3,14,Cartman,"I knew they would!
"
3,12,Kyle,"Aaaah!
"
3,16,Cartman,"Okay, that settles that. Now let's talk about our periods. Kyle, you first.
"
7,6,Kyle,"Really?
"
10,2,Kyle,"Don't belittle my people, you fucking fatass! 
"
10,8,Stan,"I can't believe it's all over. What do we do now?
"
11,7,Randy,"He's homeless now. We aren't safe.
"
14,8,Cartman,"Oh, fuck my ass! 
"
13,10,Cartman,"Alright, let's start wrestlin'. 
"
2,12,Randy,"Well, hello, ladies.
"
4,12,Cartman,"No way, lady!
"
4,9,Kyle,"Hell no! I'm not being part of a four-member boy band! We'll look stupid!
"
10,7,Cartman,"Hey guys, I've got some pretty big news.  I ran away from home. Yeah, my mom just... doesn't care about me anymore, so I moved out. She didn't even try to stop me. It's gonna be tough livin' on my own. But I'll get by, somehow.
"
9,9,Stan,"Nobody will. That's the way it's suppose to be. Hit it, Kenny. 
"
4,1,Mr. Mackey,"Not this time, Eric! You've got to learn to respect your little friends! You're gonna have detention for two weeks!
"
7,6,Butters,"Ow. Ow. Ow ow ow ow ow ow ow ow ow. Naw, nothin'
"
6,11,Stan,"But if there is no other team, then it won't be any fun.
"
1,8,Stan,"Cartman, you butt-pipe, this is the time of year you're supposed to share.
"
7,5,Mr. Garrison,"Will you kids shut up?  Jennifer Lopez and Ben Affleck are not-! Oh my God, that's Jennifer Lopez and Ben Affleck. 
"
3,12,Stan,"Cartman, will you stop singing Christmas carols? We have to be quiet, or else we're gonna get busted!
"
3,3,Mr. Garrison,"And never let poontang come between you and your friend.
"
9,4,Cartman,"Did so!
"
3,8,Randy,"One little drink isn't going to hurt anything, honey. Come on, live a little.
"
9,5,Kyle,"You mean, throw the game? You know how our parents are about this sport.
"
7,4,Cartman,"I have programmed TiVo to record over fifty hours of the History channel. When TiVo is full, both TiVo and I will be dropped into the water, combining our electrowhatever fields and sending me into a flashback of history!
"
3,3,Cartman,"After today they're gonna be fine, and I'll never have to see you ever again!
"
17,8,Butters,"Nothing! The dragons are just still on their way! They keep promising dragons, but all I get are more floppy wieners in my face!
"
7,15,Kyle,"Ike, you'll always be my little brother, okay?
"
4,2,Kyle,"Oh my God! You did lie to me.
"
13,2,Cartman,"I know, right?  ""Who is the Coon?"" It's what everyone must be asking themselves. Somebody is dressing up at night and taking the law into their own hands. As for me, I certainly don't agree with the Coon's reckless ways. If you ask me, there's no room in this world for vigilantes. I believe the Coon is a menace.
"
9,14,Randy,"Well, I ran into Nelson from work. We were at the bar watching the game. Two-dollar margaritas! It was great. All right, come on, I'll drive you guys home. 
"
15,1,Kyle,"(NOOOO!) 
"
1,6,Kyle,"Dude, it's Terrance & Phillip.
"
3,13,Kyle,"Love ...is the most important thing on... earth. When boys and girls feel ...love, they kiss.
"
1,10,Stan,"Whoa!
"
5,5,Cartman,"Are you sure? I haven't seen it.
"
7,9,Kyle,"That's a retarded idea, Cartman!
"
5,4,Kyle,"Cartman, you don't buy pubes, you grow them yourself!
"
4,9,Stan,"Alright! 
"
4,2,Cartman,"Four dollars. 
"
9,5,Butters,"Aw hamburgers. 
"
18,8,Kyle,"Hey McNuggets. You wanna come play for us?
"
6,7,Stan,"Stop it, Tweek! We're pretending like nothing happened.
"
13,14,Kyle,"No, you're the minority!
"
14,14,Randy,"Aw yeah. Shallots won't overwhelm the chicken's natural flavors. Fuck yeah.
"
4,17,Cartman,"...deh..OOOWW!!!
"
11,3,Cartman,"Me?!
"
11,4,Cartman,"Yes or no, Kyle?!
"
17,8,Randy,"Happy was a good man. Too good to have died in such a brutal but festive manner.
"
15,10,Kyle,"So, just to be completely clear, now it isn't funny, right?
"
16,4,Cartman,"Kewl, thanks Kyle. Oh, and Kyle... Happy Passover!
"
3,2,Kyle,"Well, I'm Jewish.
"
1,11,Wendy,"Stan? Stan?!
"
9,9,Butters,"Well, I'm just having some fun with my girlfriends.
"
14,8,Cartman,"Alright, what's up NASCAR fans? I don't know about y'all, but this President Obama is pissin' me off! So I'm gonna do some dip and speak my mind. Today I'm gonna be dippin'...  Vagisil Regular Strength Anti-Itch Creme.  Oh yeah. Yeah, that's a big dipper right there. But I'm pretty pissed off at what I found out. I found out this ""Obama"" wants to put a bigger tax on gasoline!  What the fuck is up with that?! That's fuckin' gay! And he's fuckin' gay as hell!  You all know my pit boss, Butters.
"
7,6,Cartman,"Don't worry, ma'am. We'll find your doll.
"
16,12,Randy,"I just wanted to wait until the deal was all finished. We are going into business for ourselves! You are all looking at the new owner of Blockbuster Video! 
"
13,11,Stan,"Guys... guys...  Look, I really think it's time for us to do something. This is all getting way out of hand.
"
4,16,Kyle,"Hold on. I'll be right back. 
"
6,10,Kyle,"Yeah, it's cool.
"
4,10,Cartman,"There is only one answer! As kids we must abandon this town of sin and start anew!
"
1,12,Kyle,"Oh, just this really really old lady who wishes she was still only 45. 
"
8,8,Randy,"He's going to vote!
"
6,4,Kyle,"Screw you, Cartman!
"
12,14,Mr. Mackey,"Here's a couple more, Principal Victoria, hm'kay.
"
2,17,Mr. Garrison,"Yeah, well, I don't want to sound like a dickhole, but I told you so.
"
12,10,Stan,"Kyle, calm down.
"
8,5,Butters,"Oh, that's all right, AWESOM-O. Come on! I have a lot of things to teach you. 
"
5,7,Stan,"Well, I guess we got a while to wait before we have to worry about sex and diseases, huh, Wendy?
"
5,8,Stan,"What?
"
3,10,Kenny,"(No!)
"
16,2,Stan,"What are you talking about?
"
1,4,Mr. Garrison,"Wooo!
"
15,9,Cartman,"Alright y'all, keep your eyes peeled and your guns ready.  There's a heap of Mexicans out there who want nothin' more than to sneak past our border, and we've gotta stop them!
"
12,3,Stan,"Yeah, and then you ran through town screaming and started tearing off all your clothes.
"
8,8,Randy,"Hey! That's not true, Stan.
"
4,4,Stan,"I know!
"
13,5,Kyle,"Yes, I believe that you believe you helped write that joke. That's how people like you work! Your ego is so out of whack that it will do whatever it can to protect itself. And people with a messed up ego can do these mental gymnastics to convince themselves they're awesome, when really, they're just douchebags! 
"
8,11,Cartman,"Is South Park about to explode from a methane gas leak? More on that later. But first, Stan Marsh has a look at some new outfits for the Raisins girls!
"
13,10,Cartman,"And, I mean, Smackdown might be our one shot at making it into the WWE, right? I mean a shot like this might never come again.
"
6,15,Kyle,"So is it a coincidence that Grandma DID talk to me about going to Jewleeard someday?
"
3,17,Mr. Garrison,"We sure can! Well, I've got a worldwide-telecast recorder concert to get to.
"
9,8,Cartman,"Look, it's okay. We weren't here. This didn't happen, okay. We were both at my house all afternoon long playing Tea Party. Okay? Now come on, we gotta bail! 
"
13,4,Wendy,"Hey Stan, you wanna maybe study together after school?
"
2,4,Kyle,"All the time: ""Look out for your little brother, Kyle!"", ""Take care of your little brother, Kyle"", and he wasn't even really my little brother.
"
7,5,Cartman,"Yeah. I sure did. I don't think I should record that album now.
"
16,11,Kyle,"Butters, people can't just go around beating up people who have diabetes! Now whatever your problem is, you just-
"
12,1,Cartman,"Well excuse me, Kyle, for trying to keep some optimism, you know? I mean, sometimes when things... seem their darkest you just need to try and stay... HIV-positive, but if you wanna be so HIV-negative all the time, I-
"
13,12,Butters,"It does?
"
2,18,Cartman,"Sweet.
"
4,17,Stan,"It'll have everything. Jesus, Santa. And when people see it, they'll just HAVE to get in the spirit. All we need is three hundred dollars for our budget.
"
9,4,Stan,"Dude, how'd you do that?
"
12,2,Stan,"Sacrificed? For what?
"
8,1,Stan,"Yeah, that it, Cartman! You don't get to have any powers!
"
7,15,Kyle,"Hello?
"
10,10,Cartman,"Bear mace that guy! And that guy! 
"
2,4,Kyle,"You wanna go to Nebraska, Ike?
"
11,12,Cartman,"O-hoo Kyle, you are gobbling those balls, aren't you? I told you you would suck my balls before this was over, didn't I, Kyle?
"
8,5,Butters,"Look at that, AWESOM-O! I drew a picture of us playing in a field together.  Ah I'll be right back. I'm gonna get some Sunny Delight. 
"
18,7,Butters,"Wow! That was cool!
"
7,2,Stan,"Stay clear, guys, stay clear.
"
12,2,Kyle,"Oh, yeah. Yeh-yeah. It's a-it's not even noticeable. 
"
17,7,Kyle,"Stan, the PS4 doesn't have the seamless transition between games, movies, and TV offered by XBox One.
"
11,14,Wendy,"So that you all could justify dating Clyde and get shoes?! How dare you take advantage of your position! I'm gonna tell Bebe and have you both disbarred from the list committee!
"
2,14,Cartman,"Stinky britches, you got stinky, stinky--
"
13,4,Butters,"They didn't show part 2 of Terrance and Phillip!  They replaced it with the Queef Sisters!
"
12,12,Cartman,"Hey, you guys wanna buy a TV? 
"
4,2,Kyle,"I can't deal with it, Stan. I mean, all the stuff I've been reading; I really don't think I exist!
"
8,1,Butters,"Gaaaah!
"
12,9,Cartman,"Euugh. Wendy? Look at me Wendy.  There. Yeahm.
"
16,6,Cartman,"Somebody help us! 
"
2,8,Cartman,"Guys? Don't you notice anything wrong with this picture?
"
13,14,Stan,"Aw come on, Kyle.
"
18,5,Cartman,"Alright, alright, shh Kenny, here come Stan and Kyle. Remember, not a word about this to anyone!
"
3,3,Stan,"He wanted money?
"
1,7,Cartman,"It's the British kid! He's a little limey zombie now!
"
12,7,Cartman,"Witty anecdotes, yes, that's been ab- that's been awesome.
"
10,9,Kyle,"Stan, we can't be seen with this nutjob!  Aw, aw, awww!
"
6,13,Randy,"Oh yeah. 
"
10,1,Kyle,"Yeah. I hope he makes his Salisbury steak with buttered noodles! 
"
6,4,Stan,"Okay, very funny Cartman, now come on!
"
12,6,Kyle,"It's not working here?
"
14,4,Kyle,"I've been trying! But I just don't know how to make totally new friends on the Internet.
"
15,14,Cartman,"You've already been here awhile, Kenny, so you have to introduce me to your friends, okay? And make sure they know I'm kewl. You've gotta have my back, Kenny! 
"
7,12,Stan,"Hey Dad, how come you never told me about Joseph Smith?
"
5,6,Stan,"...Why?
"
3,2,Cartman,"Well, this sucks that I have to die, but if I die, everyone's sins will be forgiven.  So I guess it's cool. 
"
6,9,Stan,"That is our understanding.
"
4,16,Stan,"I dunno.  You guys wanna build a snow igloo?
"
12,4,Kyle,"You should care! This strike affects everybody, fatass!
"
15,4,Randy,"Great! And so divide by the 17. carry the 1, and we can see that Randy's adjusted penis size, or T.M.I., is... 6.3 inches. Do we got that? Randy's length is 4.4 inches, but his adjusted length is 6.3. So how does our example person ""Randy"" compare to others on the T.M.I. scale? By referring again to the T.M.I. chart, we see that a T.M.I. of 6.3 is .8 inches more than the national average. 
"
7,11,Kyle,"Cartman! 
"
3,3,Stan,"Come on! We're going to his house! 
"
13,8,Kyle,"Purgatory? What's that?
"
6,4,Cartman,"All right. Then we're gonna have to eat Butters. 
"
8,10,Cartman,"I don't know, son. That sounds awfully strange.  You cannot have a picture of my hot breasts.
"
7,6,Cartman,"Looks like the game is over, old man! 
"
12,5,Mr. Mackey,"Uh, ""commend"" means you've done a great job, Eric. Hm'kay?
"
3,9,Kenny,"(What?!) 
"
6,10,Randy,"Stan, as you get older, boobs - bu-these ""ahta"" will start becoming a major part of your life.
"
3,14,Cartman,"I'll bet you can't, because you guys are all pussies!
"
14,3,Randy,"""Frozen and processed foods appear to have a direct link to many forms of stomach and colon cancers."" Alright.  ""Tests show that preservatives found in these foods are the leading cause. However, luckily most of these cancers are...""  ""slow-growing and can take years to develop."" Dammit.  ""Testicular cancer. Most common in older men and can be extremely aggressive."" Oh this is good. ""There's no data on what causes testicular cancer to grow so rapidly, however the primary causes of testicular cancer are linked to exposure to high doses of radiation"" Hmmm.  Oh hey, Stan, could you grab me a beer?  Stan?
"
8,1,Butters,"Nuh uh!
"
4,9,Randy,"Let 'em be pissed off, then!
"
1,5,Kyle,"Wait, Stan, there he goes.
"
2,10,Kyle,"Aawwww! Hey Dad. Is it true that you and Kenny's dad used to be best friends when you were young?
"
10,12,Cartman,"You guys! You guys! You guys, you gotta help me.
"
12,7,Cartman,"Check it out, dude, I'm a space man! Space man, yehesss!
"
2,13,Stan,"Here we go. 
"
14,11,Cartman,"Well, see, the problem with that is there's a superhero union called Coon and Friends. But if you refuse to be a part of that union. you are a scab!
"
1,5,Stan,"Well yeah, but pigs aren't smart, like elephants.
"
6,7,Kyle,"Hey! It's Tweek.
"
8,4,Stan,"What? The state tap champion is from here? Who?
"
4,17,Cartman,"Family?
"
6,7,Kyle,"No way.
"
11,14,Wendy,"Uh, what do you mean? Call the girls in.
"
5,11,Cartman,"Heheheheheh. 
"
1,5,Stan,"Nothing, I mu-I mean, nowhere.
"
3,12,Stan,"Ow!
"
6,9,Stan,"We have to do something. Let's form a club.
"
2,15,Stan,"Where did it go?  Huhhh. 
"
16,6,Kyle,"Because we keep getting screwed over by your diarrhea!
"
5,10,Cartman,"Hehey, you're right! Oho, this is great! Ben Assfleck! 
"
15,2,Stan,"Naw dude, don't make us go back in the-
"
5,6,Kyle,"Hunh, I guess you're right.
"
3,16,Kyle,"Yeah!  I was just hanging out in my room, and then I perioded all over the place.
"
11,13,Kyle,"Oh my God!
"
2,12,Cartman,"I had the same thing with my mom the other day. I'm all like, ""Ey! I am not a little kid anymore! Ma, I'm eight years old! And if I wanna fingerpaint, then I'm gonna fingerpaint!"" 
"
3,6,Cartman,"It's time to celebrate, yeahIt's time to celebrate, yeah
"
6,15,Stan,"Yes. Now, come on. Our plane is gonna leave. 
"
16,10,Cartman,"Mom, do you wanna get raped?! Haven't you seen their commercials?! You can get raped by a white guy these days, Mom!
"
2,4,Kyle,"Bye-bye seeme mama.  Ah, I'm gonna take him up to the bathroom to get washed up. 
"
15,5,Kyle,"The government could come after us, Cartman.
"
3,1,Mr. Mackey,"What do you have to say for yourself?!  Well, I tell you what, young man. Uh, you're gonna be held back a grade if you don't luh-  Did you just flip me off?
"
13,14,Kyle,"No dude, Butters' pee is in there.
"
18,10,Cartman,"No! You can't do this!
"
7,4,Mr. Garrison,"Okay, children, let's take our seats. Did you take attendance, Mr. Slave?
"
4,17,Kyle,"Sure we'll help! 
"
4,7,Cartman,"Thank you. And you'd better hope to God it still works, just like it did before.
"
11,4,Kyle,"All right, all right. 
"
5,6,Cartman,"Hoosajiggawha?
"
2,15,Cartman,"No, Kitty, this is my pot pie, Kitty!
"
2,14,Kyle,"Well, we helped.
"
5,14,Butters,"Uh stop it, Mom and Dad.
"
15,11,Randy,"OH!  Shelly! Hold on! 
"
8,2,Jimmy,"What?
"
3,17,Mr. Garrison,"Can I ...come in?
"
12,1,Kyle,"Magic Johnson?
"
4,6,Kyle,"Alright, Cartman. I'm gonna give you... a jail-time card.  You lose a turn.
"
3,17,Stan,"I wish we could find a way to get back at those New Yorker kids.
"
17,1,Cartman,"Yeah, but I was like ""I can't you guys. I twisted my ankle."" In the end though, they really needed me to play, so I just played through the pain, you know what I'm sayin'?
"
11,13,Stan,"Look, Kyle, the game is still set up at my house and, maybe we could go try playing it again over there.
"
15,13,Kyle,"I was just explaining how a negative argument doesn't make a po-
"
3,2,Randy,"Stanley, I think its best you live with Kyle from now on. His dad is better than me.
"
9,10,Kyle,"Okay, Stan, you've been an asshole to me all week! What is up?!
"
6,16,Cartman,"Extreme enough for you? How's Wednesday?
"
11,2,Cartman,"Oh right, like that's possible! Alright, fine! You know what I'm gonna do, Kyle?! I'm gonna go home, and photo shop the picture so that it is your face with Butters' wiener in his mouth here! And if ANY of you say anything to anybody, I'll simply show them the picture of Kyle.  Haha, hahahaha! 
"
7,11,Cartman,"Oh my God! Does it look like it's getting closer? 
"
2,7,Stan,"Now we need more weight in the back.  No, that's too much! 
"
6,3,Butters,"Oh Jesus! They were??
"
6,1,Butters,"Now gosh darnit, my name's not Not-Kenny!
"
3,12,Kyle,"Then, you'll help us?
"
14,3,Cartman,"They can't do that! This is the only KFC in all of South Park!
"
7,13,Cartman,"Three weeks?! Are you fucking kidding me?
"
6,4,Kyle,"Huh, what the hell is that?
"
4,12,Mr. Garrison,"No I don't!  IT'S A LIE! You see? That's what you get for bein' a teacher! You work and you work for the children and then people start rumors that you're gay even though you love poontang!
"
5,13,Stan,"But then, why does God give us anything to start with?
"
17,10,Mr. Mackey,"Uh, take a seat, Wendy. I guess some mean things were said and I need to get to the bottom of it.
"
1,3,Kyle,"Stan, Stan, wake up!
"
3,2,Randy,"Well, uh I don't study human biology, I study the earth.
"
6,8,Kyle,"Hey dudes.
"
13,13,Cartman,"How many Smurfberries is the life of each Smurf worth? 
"
5,9,Cartman,"God-damnit, I hate regular milk!!!
"
7,15,Kyle,"I found the number for a really cheap airline to Canada. If we go as soon as possible, then-
"
4,15,Kyle,"I'll give you ten bucks to eat it.
"
3,1,Kenny,"(Uh-huh.) 
"
7,8,Stan,"Come on, Kyle! We're giving you a makeover! 
"
2,3,Cartman,"A-ha! 
"
8,9,Kyle,"Yeah, but what about all the people getting laid off from the grocery stores?  And what about all the- 
"
6,1,Stan,"Hey, you're the one who screwed us by not losing weight, Butters. 
"
1,1,Cartman,"No, Mr. Garrison, I'm fine. 
"
13,6,Stan,"Come on, Dad. We've gotta come clean.
"
8,13,Kyle,"This is fuckin' ridiculous!
"
14,8,Kenny,"(Aww, come on!)
"
8,3,Cartman,"Mmm, one more time, Kyle.
"
10,8,Cartman,"Don't you have better things to do than going online killing people?!  No! I don't want them to start over at the graveyard!  No! 
"
5,2,Cartman,"That's not funny! Jesus Christ!
"
2,11,Stan,"Why are you doing this, dude?
"
6,9,Kyle,"When an artist creates, whatever they create belongs to society
"
2,2,Stan,"He was a good friend, and I'll miss him.
"
5,4,Kyle,"Scott Tenorman?
"
10,3,Mr. Mackey,"Attention students: Proceed to the school gymnasium immediately for an emergency announcement!
"
3,4,Kyle,"Fine!
"
5,14,Butters,"That's me.
"
10,4,Cartman,"It won't take long, sir.  Ow...
"
1,9,Stan,"Dude, sick!!! 
"
4,10,Cartman,"Ugh. Oh, I know.  We can use Wacky Water Weasel! 
"
7,11,Kenny,"(Yeah!) 
"
8,11,Butters,"Oh boy, I can't wait to be creative and smart.  Hohhh, it's all thick and g-gooey.
"
4,15,Stan,"No.
"
2,10,Cartman,"Well, I know one thing for sure.
"
5,9,Butters,"Stop breathin'?
"
7,4,Randy,"Oh, you think so? Bring the shizzle!
"
15,2,Stan,"All I can say is I'm glad the Germans are back in Germany and nobody's pissed off at us anymore. 
"
3,6,Cartman,"Th... That is correct, my honor.
"
4,2,Stan,"What?
"
6,9,Cartman,"Now, either you stop with these faggotronics or we'll find someone to replace YOU!
"
1,11,Mr. Garrison,"Wwooww, that's a pretty good nose job. What do you think, Mr. Hat?
"
9,11,Cartman,"Help me! Hellp mee!
"
1,7,Stan,"Oh man, I can't believe he's gone.
"
6,4,Kyle,"Dude, that's messed up. 
"
11,5,Randy,"Stanley, why did you do that? I would have proudly died for that rabbit.
"
18,6,Jimmy,"This is my fault, Stan. I should have never told you the game was fuh fufuh fan-fantastic.
"
6,16,Randy,"Dad?? Look! We don't know you and you don't know us! Just go away before we call the police!
"
1,10,Kenny,"Quack-quack.
"
6,5,Cartman,"The time has come! Turn it on, turn it on! 
"
11,7,Randy,"You won't make it through, Gerald! 
"
7,2,Jimmy,"No need to worry about me. I'm cool like a fool in a swimming ppp-ppp-pp-pp-pool. 
"
7,6,Kyle,"Yeah, but how?
"
5,14,Butters,"Oh. Well, alright, Mom. O-o-okay then.  You know, I think the car might be movin', Mom.  Yep, I'm pretty sure the car is movin'. Looks like I'm headin' for the water.
"
13,13,Cartman,"Yes, well now you can read about all those things I've said, Butters. Take this copy of my book.
"
1,11,Cartman,"What the hell...? 
"
11,14,Stan,"Dude, it's just a stupid list, remember?
"
3,15,Stan,"I'll try again.
"
6,6,Kyle,"Cool.
"
4,8,Kyle,"Yeah, me neither.
"
11,6,Cartman,"Have you lost your mind?
"
13,10,Cartman,"No dude, they're gonna hurt our chances.
"
1,5,Mr. Garrison,"Stanley, what the hell has gotten in to you?!  You have got severe lunchroom duty mister!
"
14,5,Cartman,"You're a no-good swindler and a 2-bit thief. We were here for money, not goo!
"
2,14,Stan,"We’re gonna raise your money, Chef.
"
9,2,Cartman,"Hoho! Aw man, this is awesome! Weeeee!  Oh here, Kyle, you wanna play with it a little while.  Oh, psych! You don't get to! Hehe. Oh, check it out! Cooool!
"
18,8,Cartman,"Dude, I don't think people are appreciating this!  It was such pwnage it was almost repulsive!
"
1,11,Cartman,"Good-bye, Ms. Ellen.
"
5,10,Cartman,"Two people with asses for heads. Ever since I saw them I can't laugh at anything.
"
5,8,Stan,"Don't care, don't care, don't care.
"
9,1,Kyle,"Well, all my life I felt I was black! I've listened to hip-hop, I watch UPN and I love playing basketball! My body doesn't reflect who I am inside.
"
1,10,Kyle,"Yeah. You aren't having any doubts, are you?
"
2,3,Randy,"Well, according to that sign right there, it's 40 miles an hour. 
"
3,11,Cartman,"Whoa, cool.
"
6,17,Cartman,"Oh, God-damnit!
"
3,1,Stan,"They did.
"
18,7,Butters,"I'm sorry!
"
7,1,Cartman,"Nope! It has to be Kyle!
"
12,5,Cartman,"Ey! Don't commend me! It's the students' fault for being so stupid!
"
4,4,Kenny,"(Good.) 
"
5,8,Stan,"Dude, he's in there punishing my toilet.
"
18,5,Kenny,"(Uh huh.)
"
8,2,Cartman,"Um, could I get you to do something for me?
"
4,12,Stan,"No??
"
4,17,Kyle,"Dreidel dreidel dreidel-
"
4,13,Mr. Garrison,"Alright children, as you know, we've been waiting for the absent kid's ballot to come in. Well, his mother was nice enough to bring him in from the hospital so that he could cast his vote. Ms. Harris?  Thank you very much, Billy. Don't forget to pick up your lung.  Alright, the absent kid's ballot is for...  Filmore.
"
1,7,Kyle,"Just wait till everyone sees my sweet Chewbacca costume. They're gonna be so jealous... 
"
16,3,Butters,"Well, count me out.
"
3,6,Stan,"Damnit!
"
10,11,Butters,"WAAAAAAAAAAAAAAAAAAAH! 
"
2,12,Stan,"But you and Mom are family; how come you can just split up?  You know what I think? I think that when you and Mom got married, you became family. And now that you are, you shouldn't be able to leave her anymore than I can leave my sister.
"
10,10,Cartman,"I had Beth check out their Travelocity account.
"
14,6,Stan,"That's not cool!
"
9,12,Randy,"Wasn't L. Ron Hubbard a science-fiction writer?
"
4,3,Stan,"I'm tired, Grandpa.
"
6,3,Butters,"Well yeah, I s'psoe
"
7,4,Randy,"I like to rock, but I don't wanna rock Iraq! The only kind of rockin' America should do, is the kind that we can all dance to, yeah!
"
3,4,Kyle,"Yeah, you are! You always get in trouble
"
6,7,Cartman,"Everything's gonna be okay, you guys! Life isn't so crappy after all!
"
16,10,Kyle,"It just keeps getting worse. I see stuff from Amazon almost every day. My poor dad has no idea.
"
4,8,Wendy,"Oh, Cartman! 
"
4,14,Wendy,"Oh no! NO!
"
10,7,Cartman,"Well, yeah.
"
3,2,Stan,"...What?
"
5,8,Cartman,"Hey, this is all of ours. I'm the one who found Stan's aborted brother in the trashcan and blackmailed his mom into getting the GameSphere. 
"
4,7,Stan,"This is everyone that wanted to help Kyle??
"
4,9,Kyle,"Dude, what are you talkin' about? That was awesome!
"
5,4,Cartman,"Well, because, unlike you guys, I just got my first pubes! Ayada da daa, yadadadadee! 
"
2,4,Mr. Mackey,"You mean I'm fired?
"
4,2,Cartman,"Hm. Work for you, have my penis cut off. Work for you, have my penis cut off. Hm's see...
"
12,10,Randy,"Oh my Gohhhd!
"
17,5,Kyle,"Mom, Ike did it again. I don't know what's going on with him, but, it's like he hates me.
"
8,4,Stan,"Yeah, dude, the best dancers South Park has to offer.
"
6,5,Cartman,"Nah, nah, the cable wire must be loose. 
"
8,11,Cartman,"You see Token, people really enjoy seeing African-Americans on the news... Seeing African-Americans on the news, not hearing them. That's why all African-Americans newspeople learn to talk more... wha, how should I say... white.  Token, all the great African-Americans newspeople have learned to hide their ebonic tribespeak with a more pure Caucasian dialect. There's no shame in it, and I think it'll really help our ratings.
"
1,4,Kyle,"Did it work?
"
11,11,Stan,"That's not very imaginative.
"
18,9,Randy,"Look, this isn't what I want! My music is supposed to be-
"
7,3,Cartman,"So... so then, how can you feel bad?
"
3,17,Mr. Garrison,"Guess I'll just... go on up to bed now.
"
2,11,Mr. Garrison,"Hoh, very good haiku, Kyle. Yes- haikus have five syllables, then seven, then five. Kenny, can you give us another example?
"
14,3,Cartman,"Shut up Kevin! I'm the boss, not you, buttlicker!
"
9,2,Mr. Mackey,"We know you can do it, Eric. You're smart. Wha- why you're the smartest kid in school, m'kay?
"
6,1,Butters,"Uh hey, uh Eric?  Uh- thanks for coverin' for me. You're a real pal.
"
7,9,Kyle,"He's right, dude. We have to define our style if we're ever going to make a platinum album. I mean, ah I'm a fusion guy, but Kenny's background is more Latin Jazz.
"
8,14,Stan,"What the hell?
"
4,1,Kyle,"He's gotta show up. He's just got to.
"
15,10,Kyle,"Dude, that's fucked up.
"
2,9,Cartman,"I wanna Fudge 'Em.
"
6,16,Stan,"God-damnit!
"
2,15,Randy,"Good night, Stanley. We'll uh see you in the morning.
"
10,14,Stan,"Well, sure we can.
"
12,1,Butters,"I just uh... well I don't know if I should be helping you make Kyle look silly.
"
10,2,Butters,"Wait, uhh, eh take your next right. You've got to start heading west.
"
7,1,Stan,"Our planet is just a reality-TV show?
"
8,9,Randy,"We're sorry, but it seems our Main Street is dying and good people are losing their jobs. We'd all like you... out of South Park.
"
13,8,Stan,"Yeah, there's no way that lady judge is voting for us. She was glaring the entire time.
"
8,1,Kyle,"Kaii yo! 
"
13,10,Stan,"You don't come to this country and make fun of it!
"
2,15,Cartman,"No, Kitty, this is my pot pie!
"
13,13,Butters,"Wah!  Smurfkiller!  Answer for your crimes on the Morning Announcements!
"
