"Country","Region","Year","Infant_deaths","Under_five_deaths","Adult_mortality","Alcohol_consumption","Hepatitis_B","Measles","BMI","Polio","Diphtheria","Incidents_HIV","GDP_per_capita","Population_mln","Thinness_ten_nineteen_years","Thinness_five_nine_years","Schooling","Economy_status_Developed","Economy_status_Developing","Life_expectancy"
"Austria","European Union",2015,3,3.7,64.6875,11.6,93,88,25.5,93,93,0.08,44196,8.64,1.9,2.1,12.1,1,0,81.2
"New Zealand","Oceania",2005,5.5,6.6,77.0035,9.32,87,86,27.2,89,89,0.03,35052,4.13,0.3,0.3,11.7,1,0,79.9
"Tanzania","Africa",2012,44,65.3,287.067,6.22,92,64,22.9,90,92,2.32,857,47.05,6.9,6.8,5.5,0,1,60.5
"Iran, Islamic Rep.","Middle East",2003,25.1,30.2,141.0335,0.012,98,65,25.3,99,99,0.15,4543,68.12,7.5,7.7,6.7,0,1,71.3
"Guyana","South America",2014,28.1,34.1,210.868,5.84,98,91,26.2,97,98,0.59,5568,0.76,5.5,5.3,8.4,0,1,69
"Gambia, The","Africa",2000,61.6,113.4,300.7215,3.16,91,64,21.9,84,80,1.68,729,1.32,1.2,1.2,2,0,1,56
"Peru","South America",2006,19.3,24.9,139.7105,4.48,94,50,25.6,94,94,0.19,4124,28.1,1.2,1.2,8.1,0,1,73.2
"Namibia","Africa",2011,36.9,48.9,383.243,1.59,82,64,23.9,85,82,5.62,4282,2.16,9.9,9.9,6.3,0,1,58.1
"Switzerland","Rest of Europe",2008,4,4.7,59.218,10.29,88,83,25,96,95,0.07,82998,7.65,0.5,0.4,12.9,1,0,82
"St. Vincent and the Grenadines","Central America and Caribbean",2011,17.3,19.2,159.928,7.04,96,83,26.7,96,96,0.4,6738,0.11,3.5,3.5,8.4,0,1,71.8
"Lebanon","Middle East",2010,8.7,10.2,67.7015,1.37,81,73,27.1,77,81,0.03,9115,4.95,4.7,4.7,7.9,0,1,78.4
"Latvia","European Union",2010,6.5,7.8,180.8715,9.83,91,93,26.3,92,92,0.22,10964,2.1,2.2,2.3,12.5,1,0,73.5
"Cabo Verde","Africa",2009,22.7,27,134.1865,4.2,98,96,24.2,99,99,0.26,3004,0.49,7.6,7.6,5,0,1,70.9
"Ecuador","South America",2004,20.7,24.4,149.1315,4.09,88,95,25.8,90,88,0.2,4725,13.6,1.5,1.3,7.2,0,1,73.9
"Moldova","Rest of Europe",2015,13.6,15.8,171.2775,6.76,88,92,27,88,87,0.36,2732,2.83,2.7,2.8,11.6,0,1,71.5
"Bolivia","South America",2010,33,41.6,200.5385,3.37,91,83,25.8,90,91,0.17,2514,10.05,1.2,1.1,7.8,0,1,68
"Venezuela, RB","South America",2003,16.9,19.8,156.3825,6.39,72,83,26.4,86,68,0.4,3273,25.55,1.7,1.6,7,0,1,72.6
"Malta","European Union",2008,5.9,6.8,57.259,6.87,86,83,27.1,72,72,0.08,19948,0.41,0.7,0.7,10,1,0,79.6
"Bosnia and Herzegovina","Rest of Europe",2003,8.1,9.2,113.603,4.29,92,85,24.9,87,87,0.08,3172,3.76,3,3,7.2,0,1,74.9
"Pakistan","Asia",2005,76.6,96.3,180.861,0.039,65,33,23,63,77,0.13,1175,160.3,21.2,21.7,4.5,0,1,64
"Bhutan","Asia",2013,29.6,36.2,216.1,0.31,97,89,23.6,97,97,0.14,2501,0.71,15.9,16.5,2.8,0,1,69.7
"Canada","North America",2010,5,5.7,69.0295,8.4,56,85,26.8,90,89,0.1,41155,34,0.5,0.4,12.6,1,0,81.2
"Uruguay","South America",2001,14.4,16.5,123.728,6.9,94,92,25.9,94,94,0.17,9679,3.33,1.8,1.7,8,0,1,74.9
"Madagascar","Africa",2002,62.5,96.5,271.224,0.8,51,64,20.7,61,62,0.04,426,16.77,8.5,8.4,5.3,0,1,59.7
"St. Vincent and the Grenadines","Central America and Caribbean",2010,17.8,19.8,161.7965,7.19,99,83,26.6,99,99,0.4,6783,0.11,3.5,3.5,8.3,0,1,71.8
"Tajikistan","Asia",2013,34.2,39.4,137.093,0.8,96,92,25.6,97,96,0.12,907,8.06,3.6,3.7,10.7,0,1,69.6
"Burundi","Africa",2001,91.9,149.4,355.612,6.62,87,57,20.7,72,81,1.41,306,6.53,8.8,8.8,1.9,0,1,49.9
"Morocco","Africa",2000,43.9,52.3,152.9405,0.45,43,92,24.6,95,95,0.06,1763,28.79,6.7,6.6,3.4,0,1,68.7
"Libya","Africa",2008,16.1,18.8,132.4335,0.011,98,97,27.4,98,98,0.09,13794,6.06,5.5,5.4,7,0,1,72.2
"Japan","Asia",2013,2.1,2.9,57.102,8.65,83,93,22.7,99,96,0.17,34240,127.45,2,1.7,12.2,1,0,83.3
"Lithuania","European Union",2013,4.1,5,178.7025,14.92,93,92,26.4,93,93,0.09,13262,2.96,2.7,2.7,11.9,1,0,73.9
"Portugal","European Union",2002,4.7,6.1,106.0975,12.5,82,64,25.6,96,98,0.21,19068,10.42,0.8,0.6,7,1,0,77.1
"Congo, Rep.","Africa",2015,37.6,52.6,262.224,2.05,80,64,23.1,80,80,2.04,2449,4.86,7.5,7.1,6.3,0,1,63.1
"Zambia","Africa",2006,58.4,98.5,496.876,2.73,81,39,21.9,83,81,7.23,965,12.17,7,6.9,6.4,0,1,49.8
"Namibia","Africa",2007,37.6,60.8,500.1645,1.9,83,64,23.5,81,86,7.04,4012,2.01,12,12,6.1,0,1,52.6
"Australia","Oceania",2006,4.7,5.6,65.59,10.31,95,87,26.7,92,92,0.05,50948,20.7,0.7,0.6,11.9,1,0,81
"Cameroon","Africa",2000,87.6,143.9,411.085,3.89,81,64,23,57,62,4.22,1107,15.51,7.7,7.8,4.8,0,1,51
"Egypt, Arab Rep.","Africa",2007,27.1,32.7,167.5755,0.19,98,64,28.4,98,98,0.13,3126,78.23,3.1,3.1,6,0,1,69.8
"Papua New Guinea","Oceania",2006,48.7,63.5,245.9055,0.61,71,65,24.7,65,72,0.5,1944,6.65,1.4,1.4,3.6,0,1,60.8
"Lao PDR","Asia",2005,63.6,86.8,243.807,3.69,49,65,21.6,50,49,0.16,1172,5.75,1,1.1,4.2,0,1,61.6
"Lithuania","European Union",2004,7.4,9.3,205.9795,12.1,94,93,26.1,90,94,0.06,8919,3.38,3.1,3.1,11.5,1,0,72
"Malta","European Union",2000,6.9,7.8,64.045,5.94,86,52,26.9,94,94,0.08,17189,0.39,0.8,0.7,8.1,1,0,78.3
"Ecuador","South America",2011,15.6,18.1,131.6005,3.99,88,92,26.6,85,88,0.16,5655,15.24,1.3,1.2,8,0,1,75.3
"Congo, Dem. Rep.","Africa",2003,99.9,145.7,325.9935,2.26,69,64,21,47,41,0.89,342,51.43,11.9,11.7,3.9,0,1,52.1
"Dominican Republic","Central America and Caribbean",2005,29.8,36.4,178.7195,5.75,87,83,25.4,86,87,0.74,4647,9.1,3.5,3.4,7,0,1,70.8
"Spain","European Union",2003,4.1,5,80.6985,11.04,81,92,26.2,99,98,0.09,25311,42.19,0.6,0.5,8.6,1,0,79.6
"Czechia","European Union",2011,2.6,3.3,95.5795,12.56,99,98,26.9,99,99,0.08,16762,10.5,1.9,1.9,12.5,1,0,77.9
"Syrian Arab Republic","Middle East",2003,17.7,20.7,118.895,0.86,81,83,27.1,85,83,0.13,1423,17.42,6.6,6.4,5.1,0,1,74
"Argentina","South America",2011,12.4,13.9,122.669,7.69,91,91,27.2,93,91,0.14,14200,41.26,1,0.9,9.8,0,1,75.4
"Rwanda","Africa",2002,90.3,149.6,423.329,9.16,88,87,21.1,85,88,2.69,399,8.43,7.2,7.4,2.5,0,1,51
"Brunei Darussalam","Asia",2011,8.1,9.8,91.9455,0.91,93,93,26.5,96,97,0.1,34244,0.39,5.9,5.4,8.8,0,1,74.9
"Guinea","Africa",2011,73.1,115.3,286.4,0.24,63,64,22.6,63,63,0.84,712,10.42,8,8,2,0,1,57.4
"Namibia","Africa",2015,33.3,47.6,315.473,2.63,92,64,24.2,92,92,4.58,4897,2.31,8.2,8.1,6.7,0,1,62.1
"Guatemala","Central America and Caribbean",2013,25.6,30.7,168.019,1.83,85,83,26.3,83,85,0.03,3802,15.04,1.2,1.2,4.7,0,1,72.6
"Nepal","Asia",2014,30.5,37.4,158.944,0.24,92,65,22.2,92,92,0.17,871,26.91,15.9,16.3,4.5,0,1,69.2
"Zambia","Africa",2002,79.2,136.1,593.712,2.61,81,39,21.6,85,84,9.05,808,10.97,7.4,7.3,6.1,0,1,45.4
"Solomon Islands","Oceania",2007,23.8,28.4,184.517,0.82,90,65,25.5,89,90,0.17,1910,0.49,1.2,1.2,4.9,0,1,69.8
"Syrian Arab Republic","Middle East",2000,19.6,23,122.6915,0.93,79,80,26.9,86,84,0.13,1341,16.41,6.8,6.6,4.6,0,1,73.1
"Antigua and Barbuda","Central America and Caribbean",2014,6.8,8.1,131.452,9.66,99,99,26.5,96,99,0.2,13909,0.09,3.3,3.3,9.2,0,1,76.3
"Serbia","Rest of Europe",2000,10.9,12.6,149.9165,9.2,81,78,25.3,98,95,0.01,3193,7.52,2.8,2.9,9.4,0,1,71.6
"Moldova","Rest of Europe",2001,23.9,28.6,238.655,6.34,94,92,26,98,97,0.25,1423,2.92,3.5,3.6,9.3,0,1,67.2
"Panama","Central America and Caribbean",2011,16.5,19.3,120.477,6.16,87,81,26.5,91,87,0.4,11194,3.71,2,1.9,9.3,0,1,77
"Grenada","Central America and Caribbean",2012,13.5,15.5,145.097,7.77,97,75,26.6,98,97,0.4,7934,0.11,3.8,3.8,8.4,0,1,72.7
"Uruguay","South America",2002,14.1,16.2,120.9975,6.08,95,92,26,93,95,0.18,8929,3.33,1.7,1.7,8,0,1,75.2
"Barbados","Central America and Caribbean",2001,14,15.3,125.1375,7.42,83,70,26.6,93,84,0.61,15834,0.27,4.2,4.2,9,0,1,77.4
"Mauritius","Africa",2001,15.3,17.5,169.8725,4.31,92,80,24.5,93,92,1.21,5674,1.2,8,8,6.4,0,1,71.8
"North Macedonia","Rest of Europe",2011,8.8,10,103.787,3.52,96,97,26.4,97,96,0.08,4434,2.06,2.2,2.3,9.3,0,1,75.1
"Haiti","Central America and Caribbean",2006,63.8,87.2,282.083,3.51,60,83,24.1,61,60,1.07,1286,9.34,4.3,4.3,4.4,0,1,59
"Armenia","Rest of Europe",2000,27,30.6,149.064,2.91,55,94,25.7,96,93,0.08,1290,3.07,2.1,2.2,10.8,0,1,71.4
"South Africa","Africa",2001,47.8,73.1,460.7075,7.56,72,54,26.2,71,71,12.31,4996,45.57,15.4,18.1,7.5,0,1,55.1
"United Arab Emirates","Middle East",2006,8.2,9.6,81.046,2.46,92,93,27.6,94,92,0.13,51197,5.3,5.1,4.9,9.3,0,1,75.6
"Suriname","South America",2011,20.1,22.5,177,5.69,86,16,26.2,83,86,0.6,9358,0.54,3.5,3.4,7.8,0,1,70.7
"Burundi","Africa",2007,70.4,110.5,340.312,5.03,99,57,21.1,93,99,0.69,302,7.86,8,8,2.4,0,1,54.9
"Georgia","Rest of Europe",2013,10.2,11.4,161.53,6.76,96,89,27.2,94,93,0.14,3739,3.72,2.7,2.8,12.6,0,1,72.4
"Canada","North America",2008,5.1,5.9,72.9125,8.4,28,85,26.8,96,92,0.1,42064,33.25,0.5,0.4,12.4,1,0,80.7
"Ethiopia","Africa",2004,73.1,115.3,353.864,0.21,52,64,20.1,54,40,0.73,286,74.24,11.5,11.3,1.8,0,1,55.2
"Cote d'Ivoire","Africa",2007,81.1,118.2,430.5715,0.91,76,64,23.3,75,76,1.85,1558,19.17,6.8,6.7,3.9,0,1,51.1
"Ecuador","South America",2007,18.5,21.7,140.35,3.99,94,95,26.1,95,96,0.17,5048,14.3,1.4,1.3,7.3,0,1,74.5
"Finland","European Union",2014,2.1,2.6,72.193,8.76,88,92,25.9,98,98,0.08,42711,5.46,0.9,0.8,12.4,1,0,81.2
"Senegal","Africa",2014,36.2,52.3,193.5185,0.19,89,64,22.9,85,89,0.1,1179,14.17,9.7,9.5,2.8,0,1,66.4
"Turkiye","Middle East",2011,14.5,16.9,113.8015,1.47,96,65,27.5,97,97,0.08,9299,73.44,4.9,4.7,7.2,0,1,74.9
"Tunisia","Africa",2009,16.2,18.9,99.6225,1.36,99,97,25.8,99,99,0.04,3881,10.53,6.3,6.3,6.4,0,1,74.9
"Bahamas, The","Central America and Caribbean",2004,14.4,16.8,180.7985,9.61,93,83,27.1,92,93,0.7,35122,0.32,2.6,2.5,10.9,0,1,72
"Guatemala","Central America and Caribbean",2003,36.8,46.2,198.056,2.34,87,83,25.3,84,84,0.33,3251,12.42,1.4,1.4,3.7,0,1,69.1
"Barbados","Central America and Caribbean",2014,13.3,14.3,100.3405,9.27,94,91,27.6,95,94,0.29,16188,0.28,3.8,3.7,10.5,0,1,78.7
"Netherlands","European Union",2000,5.1,6.2,83.609,10.13,88,97,25,97,97,0.06,40457,15.93,1.1,1.1,10.8,1,0,78
"Uganda","Africa",2009,52.1,81.5,369.69,11.1,79,64,21.9,78,79,3.29,750,31.41,6.1,6.1,5.2,0,1,56.1
"Uruguay","South America",2008,10.3,11.8,114.3705,6.54,94,93,26.5,94,94,0.22,12022,3.34,1.6,1.5,8.4,0,1,76.4
"Luxembourg","European Union",2014,2.3,2.8,58.7975,11.42,94,86,26.2,99,99,0.1,105584,0.56,1,0.9,12,1,0,82.2
"Switzerland","Rest of Europe",2007,4.1,4.8,62.047,10.44,88,71,25,94,94,0.07,81805,7.55,0.5,0.4,12.6,1,0,81.7
"Costa Rica","Central America and Caribbean",2008,9.5,10.9,93.787,4.29,89,89,26.6,89,90,0.16,10053,4.46,1.9,1.8,8.4,0,1,78.5
"Gambia, The","Africa",2004,54.7,95.6,290.417,3.56,95,64,22.6,88,87,1.48,751,1.5,9.4,9.3,2.3,0,1,57.6
"South Africa","Africa",2010,34.4,52,449.3985,7.07,71,55,26.9,72,72,9.52,6085,51.22,7.3,8.9,10,0,1,57.7
"Brunei Darussalam","Asia",2001,8,10.1,104.114,0.44,99,95,25.4,99,97,0.1,34291,0.34,6.8,6.2,8.3,0,1,73.1
"Panama","Central America and Caribbean",2010,17,19.9,121.6565,6.1,94,73,26.5,95,94,0.4,10232,3.64,2,1.9,9.3,0,1,76.8
"Lesotho","Africa",2006,74.5,116.5,592.0125,2.77,91,80,24.4,88,89,16.06,874,1.99,8.8,8.7,5.4,0,1,42.6
"Azerbaijan","Asia",2005,44.1,51.9,150.584,0.73,49,67,26,79,75,0.19,2632,8.39,2.9,3,10.7,0,1,68.7
"South Africa","Africa",2007,46.6,75.3,522.8285,7.5,83,49,26.7,79,82,10.86,6060,49.12,9.7,11.7,9.1,0,1,54.5
"Nicaragua","Central America and Caribbean",2014,17.3,20.2,150.6365,3.54,98,83,27.1,99,98,0.11,1982,6.14,1.8,1.7,6.5,0,1,73.4
"Iran, Islamic Rep.","Middle East",2010,16.5,19.3,104.022,0.03,99,65,25.8,99,99,0.08,5496,73.76,7.8,8,9,0,1,73.9
"Jamaica","Central America and Caribbean",2002,18,21.1,166.4425,3.61,98,96,25.8,99,99,0.84,4934,2.69,2,1.8,7.7,0,1,74.1
"Lesotho","Africa",2010,70.9,96.4,548.4965,2.75,93,81,24.7,92,93,12.44,996,2,7.2,7,5.6,0,1,45.1
"Oman","Middle East",2009,10.2,11.8,100.71,0.5,98,99,25.9,96,98,0.05,21458,2.88,6.9,6.8,7.7,0,1,75.4
"Egypt, Arab Rep.","Africa",2012,22.2,26.3,155.3845,0.19,93,64,29.1,93,93,0.13,3472,86.42,2.9,2.8,6.8,0,1,70.7
"Ghana","Africa",2000,64.3,99.7,299.502,1.95,80,55,22.6,88,88,1.75,1041,19.28,9.2,9.2,6.1,0,1,57
"Japan","Asia",2009,2.4,3.3,63.037,6.98,83,92,22.7,99,97,0.17,31651,128.05,1.8,1.6,11.4,1,0,82.9
"Spain","European Union",2012,2.9,3.6,61.3175,8.6,96,90,26.1,96,97,0.09,24635,46.77,0.6,0.5,9.5,1,0,82.4
"Spain","European Union",2011,3,3.7,63.491,8.74,97,91,26.1,97,97,0.09,25403,46.74,0.6,0.5,9.5,1,0,82.5
"Croatia","European Union",2011,4.5,5.3,99.7905,11.01,97,98,26.8,96,96,0.02,11780,4.28,1.6,1.5,11,1,0,76.8
"Uganda","Africa",2000,87.1,146.1,537.6,11.68,52,64,21.2,55,52,4.6,517,23.65,7,7,3.9,0,1,46.2
"Serbia","Rest of Europe",2006,7.3,8.4,139.896,8.82,93,90,25.6,97,92,0.01,4648,7.41,2.5,2.5,10.2,0,1,73.4
"Czechia","European Union",2002,4.1,5,118.748,13.77,86,98,26.5,97,98,0.08,12960,10.2,2.2,2.3,11.1,1,0,75.2
"Sierra Leone","Africa",2000,138.1,224.9,531.3245,3.75,71,60,22,46,44,1.59,403,4.58,1.3,1.4,2.3,0,1,39.4
"Lebanon","Middle East",2009,9.2,10.7,69.5575,1.53,81,75,27,76,81,0.03,8687,4.81,4.7,4.7,7.9,0,1,78.2
"Czechia","European Union",2010,2.7,3.4,97.8545,12.68,99,98,26.8,99,99,0.08,16506,10.47,1.9,2,12.4,1,0,77.4
"Philippines","Asia",2002,27.8,36.2,213.186,4.39,42,19,22.3,77,79,0.01,1876,81.37,1,9.7,7.9,0,1,68.9
"Dominican Republic","Central America and Caribbean",2002,31.1,38.1,184.5125,6.65,63,83,25.1,74,82,0.88,4376,8.72,3.7,3.6,6.7,0,1,70
"Sri Lanka","Asia",2000,14.2,16.5,165.2695,1.45,86,78,21.5,99,99,0.02,1923,18.78,15.3,15.5,10,0,1,71.3
"Cyprus","European Union",2014,2.4,2.9,52.635,9.63,96,88,26.8,99,99,0.06,22514,1.15,0.9,1,11.9,1,0,80.2
"Latvia","European Union",2001,10.8,13.3,232.029,6.68,96,95,25.6,97,97,0.21,7245,2.34,2.8,2.8,10,1,0,70.8
"Benin","Africa",2005,76.5,121.5,270.725,1.24,70,83,22.6,73,70,0.79,944,7.98,8.7,8.6,2.8,0,1,57.4
"Madagascar","Africa",2003,60.2,92.4,268.6985,0.83,61,64,20.8,65,66,0.04,453,17.28,8.3,8.3,5.4,0,1,60.3
"Pakistan","Asia",2000,84.6,107.8,188.328,0.015,64,33,22.5,61,62,0.13,1029,142.34,22.2,22.6,3.3,0,1,62.8
"Cote d'Ivoire","Africa",2008,78.7,114.2,427.1045,0.97,74,64,23.3,58,74,1.66,1596,19.61,6.6,6.6,4,0,1,51.7
"Grenada","Central America and Caribbean",2001,12.8,15.2,176.8515,9.77,96,68,25.4,96,96,0.4,6809,0.1,4.2,4.2,7.4,0,1,72.8
"Finland","European Union",2000,3.5,4.3,103.8765,8.88,88,92,25.7,96,99,0.08,37884,5.18,0.9,0.9,9.3,1,0,77.5
"Kiribati","Oceania",2009,49.8,65.2,208.5885,0.54,86,35,29.5,84,86,0.17,1409,0.1,0.1,0.1,7.8,0,1,65.5
"Bulgaria","European Union",2004,11.8,14.2,154.1315,10.7,94,91,25.5,94,95,0.02,4850,7.72,2.3,2.3,10.1,1,0,72.6
"Cambodia","Asia",2014,28.7,33.4,179.3025,3.07,88,62,22,92,88,0.11,1105,15.27,1.9,11,4.7,0,1,68.3
"Nicaragua","Central America and Caribbean",2000,31.4,38.5,196.9585,3.58,83,83,25.8,85,83,0.16,1445,5.07,2.2,2.1,5.1,0,1,69.5
"Guyana","South America",2001,36.2,45.2,229.173,7.36,85,88,24.8,90,85,0.98,3947,0.75,5.9,5.7,7.8,0,1,65.5
"Ethiopia","Africa",2009,57,86.7,279.805,0.32,56,64,20.3,65,58,0.4,414,85.23,11.1,1.8,2.3,0,1,60.6
"Turkmenistan","Asia",2010,37.2,43.1,200.751,2.9,96,99,25.8,96,96,0.08,4266,5.09,3.2,3.3,9.9,0,1,66.7
"Lithuania","European Union",2007,6.5,8,237.8385,13.79,96,96,26.2,95,95,0.07,11985,3.23,2.9,3,12.1,1,0,70.9
"Russian Federation","Rest of Europe",2001,14.7,18.3,307.7435,10.47,43,88,25.8,97,96,0.08,5619,145.98,2.8,3,11.4,0,1,65.4
"Cabo Verde","Africa",2012,20.3,24,131.7085,4.93,94,94,24.3,94,94,0.24,3085,0.51,7.1,7.1,5.4,0,1,71.4
"Myanmar","Asia",2005,57.4,77.2,225.6425,0.63,62,62,21.7,86,73,0.47,542,48.95,13.2,13.6,3.5,0,1,61.6
"Portugal","European Union",2008,3.2,4,89.2665,11.47,97,95,25.8,97,97,0.17,19986,10.56,0.7,0.5,7.8,1,0,78.5
"Uruguay","South America",2011,8.9,10.3,110.371,6.02,95,93,26.8,95,95,0.23,14086,3.37,1.5,1.5,8.4,0,1,76.9
"Ukraine","Rest of Europe",2014,8.4,9.8,203.08,7.58,22,57,26.5,45,23,0.24,2346,45.27,2.3,2.4,11.3,0,1,71.2
"Ireland","European Union",2004,4.7,5.6,81.2525,13.11,95,86,26.7,89,89,0.06,47731,4.07,0.3,0.2,11.6,1,0,78.5
"Denmark","European Union",2012,3.5,4.1,75.094,9.23,88,87,25.3,94,94,0.04,51567,5.59,1.1,0.9,12.8,1,0,80.1
"Tanzania","Africa",2002,69.9,114,446.4505,5.14,89,64,22.2,91,89,4.03,611,35.33,8,8,4.3,0,1,52.1
"Botswana","Africa",2001,44.6,80,574.7605,5.5,87,83,23.7,97,97,17.96,4495,1.67,11.8,11.8,7.7,0,1,50.3
"Sri Lanka","Asia",2006,11.6,13.5,129.7315,1.96,98,98,22.1,98,98,0.02,2398,19.7,15.4,15.5,10.5,0,1,74.9
"Malta","European Union",2013,5.8,6.6,53.4165,7.32,94,88,27.1,99,99,0.08,22071,0.43,0.8,0.7,11,1,0,81.7
"Uzbekistan","Asia",2004,40.1,46.8,182.4795,2.82,99,99,25.2,99,99,0.1,1476,25.86,3.2,3.2,9.7,0,1,68.1
"Serbia","Rest of Europe",2011,6.4,7.4,124.594,8.55,94,90,25.8,94,94,0.02,5354,7.23,2.2,2.2,10.6,0,1,74.5
"Finland","European Union",2009,2.6,3.2,89.883,9.96,88,92,26,99,99,0.08,42412,5.34,0.9,0.8,12.2,1,0,79.7
"Austria","European Union",2002,4.4,5.3,89.4275,12.09,81,39,25.1,82,83,0.08,39636,8.08,1.7,1.9,9.4,1,0,78.7
"Suriname","South America",2006,22.9,25.7,192.5215,4.57,84,16,25.9,84,84,0.81,7896,0.51,3.5,3.4,7.7,0,1,69.2
"Mali","Africa",2014,68.7,112.4,272.427,0.61,73,64,22.9,62,73,0.42,729,16.93,7.9,7.7,2.3,0,1,57
"Croatia","European Union",2008,5.1,5.9,104.768,11.36,97,98,26.4,96,96,0.02,12790,4.31,1.7,1.7,10.3,1,0,75.9
"Niger","Africa",2014,53.4,98,253.126,0.12,68,64,21.7,79,68,0.06,482,19.24,9.8,9.6,1.7,0,1,60.1
"Kazakhstan","Asia",2000,36.7,42.5,290.732,5.81,99,98,25.6,96,97,0.02,4446,14.88,2.7,2.7,10.5,0,1,65.5
"Croatia","European Union",2013,4.3,5.1,95.4975,10.39,96,97,27,96,96,0.02,11537,4.26,1.5,1.5,11,1,0,77.1
"Japan","Asia",2007,2.6,3.5,65.136,7.28,83,89,22.6,97,98,0.17,33990,128,1.8,1.5,11.3,1,0,82.5
"India","Asia",2000,66.7,91.7,221.6305,0.93,67,34,20.7,57,58,0.34,758,1056.58,27.7,28.6,4.4,0,1,62.5
"Norway","Rest of Europe",2014,2.3,2.8,56.476,6.06,88,92,26.6,93,93,0.04,73650,5.14,0.8,0.7,12.5,1,0,82.1
"Togo","Africa",2009,59.8,91.7,309.5725,1.16,78,64,23,78,78,1.28,468,6.25,7.5,7.4,4.3,0,1,56.8
"Belize","Central America and Caribbean",2003,18.5,21.7,193.551,5.63,96,89,27.7,95,96,1.47,4736,0.27,3.6,3.6,10.2,0,1,69.5
"Vietnam","Asia",2008,18.8,23.5,133.6115,1.78,87,65,20.8,93,93,0.19,1833,86.24,14.7,15.7,7,0,1,74.6
"Ethiopia","Africa",2011,51.9,77.7,252.8295,0.45,65,64,20.4,70,65,0.32,490,90.14,1.9,1.6,2.4,0,1,62.5
"Cote d'Ivoire","Africa",2013,69.1,97,407.6445,1.22,80,64,23.6,79,80,0.84,1769,22.09,5.8,5.7,4.7,0,1,54.9
"Mali","Africa",2002,96.1,174.7,318.8575,0.61,78,64,21.8,65,61,0.92,641,11.62,1.5,1.5,1.4,0,1,49.5
"Turkiye","Middle East",2013,12.7,14.7,109.578,1.33,97,65,27.7,98,98,0.08,10226,75.93,4.9,4.7,7.7,0,1,75.8
"Netherlands","European Union",2009,3.8,4.6,65.6915,9.12,88,93,25.5,97,97,0.06,44028,16.53,1,0.9,11.9,1,0,80.5
"Yemen, Rep.","Middle East",2008,48,62.4,241.32,0.038,78,95,23.1,78,78,0.03,2574,21.89,13.8,13.7,2.3,0,1,64.9
"Niger","Africa",2007,71.3,149,276.348,0.096,72,64,21.3,57,57,0.18,417,14.69,11.4,11.3,1.4,0,1,55
"Papua New Guinea","Oceania",2005,49.6,64.9,250.8075,0.8,63,65,24.6,61,72,0.56,1888,6.49,1.4,1.4,3.5,0,1,60.5
"Chad","Africa",2009,85.8,151.7,387.5995,0.67,24,64,21.6,32,24,0.67,659,11.56,9.6,9.5,1.8,0,1,50.3
"Mauritius","Africa",2012,13,14.9,147.395,3.17,98,90,25.1,98,98,0.89,8384,1.26,7.1,7,8.6,0,1,73.9
"North Macedonia","Rest of Europe",2002,12.8,14.3,119.958,4.67,69,97,25.8,97,96,0.08,3240,2.02,2.7,2.7,7.1,0,1,73
"Micronesia, Fed. Sts.","Oceania",2005,28.6,34.7,177.472,1.9,91,65,29,94,94,0.17,3023,0.11,0.2,0.2,6,0,1,65.5
"Eritrea","Africa",2003,49.6,73.8,360.1825,0.62,91,88,20.3,95,93,0.47,796,2.6,9.7,9.7,3.7,0,1,57.2
"Zimbabwe","Africa",2015,42.1,61.3,368.141,3.84,87,64,23.8,88,87,3.86,1445,13.81,5.6,5.5,8.2,0,1,59.5
"Italy","European Union",2002,4.3,5,72.478,9.25,95,84,25.5,96,93,0.09,32998,57.06,0.5,0.5,8.8,1,0,80.2
"United Kingdom","Rest of Europe",2012,4.1,4.8,69.147,9.53,88,86,27,95,95,0.08,43100,63.7,0.8,0.5,12.9,1,0,80.9
"Lesotho","Africa",2011,69,93.9,538.191,2.38,96,82,24.7,95,96,11.51,1037,2,6.8,6.6,5.8,0,1,46.2
"United States","North America",2007,6.6,7.7,109.026,8.74,93,86,28.3,93,96,0.13,54300,301.23,0.7,0.6,12.9,1,0,78
"Solomon Islands","Oceania",2008,23.3,27.8,179.355,1.07,89,65,25.6,88,89,0.17,1976,0.5,1.2,1.2,5,0,1,70.1
"Nigeria","Africa",2014,80.1,127.9,360.3385,4.45,49,64,23.2,40,49,0.58,2688,176.4,1.1,9.9,5.9,0,1,52.7
"Bulgaria","European Union",2013,7.8,9.3,133.448,10.32,95,94,26.2,95,95,0.03,6693,7.27,1.9,1.9,10.9,1,0,74.9
"Poland","European Union",2000,8.1,9.3,152.9305,8.4,99,96,25.4,98,98,0.08,7357,38.26,2.5,2.8,11.1,1,0,73.7
"Zimbabwe","Africa",2012,46.5,72.2,423.442,3.93,97,64,23.7,95,95,5.13,1432,13.12,6.5,6.4,7.9,0,1,55
"Iceland","Rest of Europe",2004,2.7,3.4,61.9875,6.71,88,89,25.7,99,99,0.03,46766,0.29,1,0.9,9.9,1,0,81
"Malta","European Union",2015,5.7,6.6,51.8135,7.37,95,91,27.1,97,97,0.08,24922,0.45,0.8,0.8,11.2,1,0,81.9
"Georgia","Rest of Europe",2002,27.7,31.5,168.977,2.74,51,40,26,89,84,0.03,1775,3.98,2.9,3,11.9,0,1,70.2
"Ethiopia","Africa",2003,76.7,121.8,369.5585,0.14,52,64,20,54,37,0.83,259,72.17,11.6,11.5,1.7,0,1,54.2
